num1: 317, num2: 745
num1: 496, num2: 103
num1: 670, num2: 785
num1: 159, num2: 685
num1: 554, num2: 566
num1: 795, num2: 238
num1: 127, num2: 756
num1: 521, num2: 571
num1: 124, num2: 683
num1: 357, num2: 188
num1: 6, num2: 813
num1: 59, num2: 896
num1: 323, num2: 734
num1: 930, num2: 720
num1: 55, num2: 98
num1: 244, num2: 409
num1: 922, num2: 927
num1: 793, num2: 824
num1: 519, num2: 249
num1: 455, num2: 538
num1: 8, num2: 75
num1: 384, num2: 870
num1: 198, num2: 350
num1: 701, num2: 295
num1: 916, num2: 723
num1: 894, num2: 861
num1: 110, num2: 94
num1: 957, num2: 484
num1: 433, num2: 688
num1: 487, num2: 902
num1: 328, num2: 56
num1: 102, num2: 883
num1: 401, num2: 90
num1: 899, num2: 387
num1: 252, num2: 59
num1: 128, num2: 621
num1: 851, num2: 22
num1: 571, num2: 264
num1: 177, num2: 329
num1: 392, num2: 746
num1: 244, num2: 411
num1: 27, num2: 419
num1: 783, num2: 31
num1: 609, num2: 220
num1: 714, num2: 10
num1: 17, num2: 600
num1: 598, num2: 355
num1: 847, num2: 922
num1: 817, num2: 245
num1: 247, num2: 41
num1: 446, num2: 532
num1: 274, num2: 661
num1: 199, num2: 612
num1: 782, num2: 547
num1: 743, num2: 582
num1: 850, num2: 546
num1: 488, num2: 315
num1: 372, num2: 470
num1: 290, num2: 938
num1: 477, num2: 756
num1: 446, num2: 370
num1: 26, num2: 372
num1: 968, num2: 770
num1: 970, num2: 795
num1: 342, num2: 394
num1: 919, num2: 739
num1: 581, num2: 716
num1: 236, num2: 735
num1: 834, num2: 735
num1: 184, num2: 982
num1: 112, num2: 966
num1: 589, num2: 380
num1: 258, num2: 240
num1: 255, num2: 639
num1: 682, num2: 513
num1: 267, num2: 914
num1: 328, num2: 10
num1: 734, num2: 165
num1: 955, num2: 663
num1: 87, num2: 123
num1: 273, num2: 650
num1: 288, num2: 699
num1: 677, num2: 973
num1: 962, num2: 447
num1: 193, num2: 727
num1: 332, num2: 420
num1: 946, num2: 222
num1: 784, num2: 547
num1: 381, num2: 666
num1: 89, num2: 958
num1: 868, num2: 939
num1: 766, num2: 690
num1: 289, num2: 854
num1: 616, num2: 797
num1: 607, num2: 52
num1: 634, num2: 542
num1: 746, num2: 163
num1: 933, num2: 745
num1: 549, num2: 673
num1: 182, num2: 300
num1: 674, num2: 397
num1: 274, num2: 670
num1: 631, num2: 257
num1: 222, num2: 921
num1: 527, num2: 536
num1: 526, num2: 226
num1: 509, num2: 930
num1: 806, num2: 222
num1: 528, num2: 285
num1: 875, num2: 506
num1: 537, num2: 399
num1: 457, num2: 240
num1: 16, num2: 257
num1: 780, num2: 949
num1: 570, num2: 933
num1: 708, num2: 407
num1: 475, num2: 875
num1: 124, num2: 766
num1: 397, num2: 320
num1: 558, num2: 514
num1: 553, num2: 336
num1: 295, num2: 32
num1: 233, num2: 116
num1: 429, num2: 202
num1: 741, num2: 965
num1: 367, num2: 887
num1: 681, num2: 506
num1: 484, num2: 363
num1: 186, num2: 965
num1: 116, num2: 362
num1: 733, num2: 863
num1: 360, num2: 605
num1: 153, num2: 449
num1: 844, num2: 294
num1: 543, num2: 754
num1: 75, num2: 849
num1: 592, num2: 93
num1: 131, num2: 959
num1: 394, num2: 818
num1: 996, num2: 181
num1: 53, num2: 343
num1: 954, num2: 569
num1: 452, num2: 447
num1: 264, num2: 795
num1: 248, num2: 687
num1: 937, num2: 8
num1: 411, num2: 878
num1: 344, num2: 530
num1: 217, num2: 715
num1: 137, num2: 328
num1: 13, num2: 847
num1: 460, num2: 750
num1: 651, num2: 280
num1: 133, num2: 236
num1: 748, num2: 823
num1: 43, num2: 496
num1: 875, num2: 70
num1: 982, num2: 841
num1: 647, num2: 595
num1: 468, num2: 107
num1: 957, num2: 478
num1: 592, num2: 367
num1: 72, num2: 238
num1: 222, num2: 516
num1: 193, num2: 251
num1: 340, num2: 791
num1: 55, num2: 804
num1: 316, num2: 546
num1: 971, num2: 888
num1: 103, num2: 609
num1: 490, num2: 677
num1: 170, num2: 318
num1: 33, num2: 396
num1: 773, num2: 821
num1: 385, num2: 170
num1: 711, num2: 538
num1: 299, num2: 334
num1: 372, num2: 78
num1: 449, num2: 613
num1: 761, num2: 836
num1: 802, num2: 819
num1: 203, num2: 130
num1: 400, num2: 590
num1: 951, num2: 874
num1: 186, num2: 662
num1: 192, num2: 643
num1: 484, num2: 952
num1: 391, num2: 241
num1: 564, num2: 815
num1: 327, num2: 855
num1: 515, num2: 532
num1: 399, num2: 207
num1: 176, num2: 348
num1: 517, num2: 732
num1: 832, num2: 279
num1: 158, num2: 912
num1: 630, num2: 685
num1: 737, num2: 751
num1: 952, num2: 556
num1: 210, num2: 790
num1: 354, num2: 496
num1: 440, num2: 931
num1: 17, num2: 442
num1: 42, num2: 62
num1: 430, num2: 397
num1: 628, num2: 588
num1: 397, num2: 569
num1: 326, num2: 493
num1: 693, num2: 740
num1: 594, num2: 353
num1: 464, num2: 363
num1: 380, num2: 587
num1: 311, num2: 283
num1: 217, num2: 900
num1: 861, num2: 412
num1: 649, num2: 279
num1: 53, num2: 704
num1: 124, num2: 780
num1: 323, num2: 768
num1: 42, num2: 323
num1: 833, num2: 631
num1: 274, num2: 3
num1: 196, num2: 426
num1: 616, num2: 917
num1: 692, num2: 551
num1: 781, num2: 9
num1: 548, num2: 666
num1: 870, num2: 348
num1: 682, num2: 319
num1: 793, num2: 214
num1: 335, num2: 779
num1: 211, num2: 616
num1: 35, num2: 366
num1: 789, num2: 133
num1: 239, num2: 465
num1: 245, num2: 794
num1: 156, num2: 376
num1: 536, num2: 993
num1: 195, num2: 31
num1: 437, num2: 871
num1: 53, num2: 447
num1: 182, num2: 3
num1: 836, num2: 288
num1: 230, num2: 255
num1: 547, num2: 383
num1: 520, num2: 655
num1: 883, num2: 280
num1: 993, num2: 6
num1: 469, num2: 993
num1: 329, num2: 69
num1: 94, num2: 7
num1: 299, num2: 57
num1: 192, num2: 320
num1: 348, num2: 932
num1: 565, num2: 629
num1: 994, num2: 456
num1: 518, num2: 910
num1: 42, num2: 710
num1: 447, num2: 192
num1: 535, num2: 494
num1: 238, num2: 165
num1: 293, num2: 498
num1: 91, num2: 213
num1: 547, num2: 308
num1: 334, num2: 412
num1: 704, num2: 941
num1: 215, num2: 465
num1: 653, num2: 594
num1: 307, num2: 823
num1: 989, num2: 866
num1: 642, num2: 431
num1: 817, num2: 550
num1: 315, num2: 78
num1: 636, num2: 929
num1: 931, num2: 769
num1: 564, num2: 758
num1: 157, num2: 808
num1: 489, num2: 460
num1: 223, num2: 251
num1: 146, num2: 115
num1: 136, num2: 688
num1: 222, num2: 174
num1: 75, num2: 636
num1: 280, num2: 202
num1: 68, num2: 678
num1: 923, num2: 779
num1: 525, num2: 656
num1: 110, num2: 925
num1: 485, num2: 123
num1: 62, num2: 61
num1: 863, num2: 433
num1: 955, num2: 358
num1: 674, num2: 255
num1: 672, num2: 815
num1: 814, num2: 989
num1: 522, num2: 617
num1: 938, num2: 866
num1: 721, num2: 230
num1: 89, num2: 252
num1: 531, num2: 968
num1: 280, num2: 752
num1: 233, num2: 540
num1: 430, num2: 556
num1: 672, num2: 946
num1: 658, num2: 406
num1: 610, num2: 27
num1: 629, num2: 127
num1: 393, num2: 509
num1: 244, num2: 232
num1: 597, num2: 258
num1: 678, num2: 779
num1: 51, num2: 384
num1: 568, num2: 950
num1: 649, num2: 193
num1: 986, num2: 822
num1: 726, num2: 454
num1: 908, num2: 102
num1: 352, num2: 260
num1: 288, num2: 873
num1: 577, num2: 817
num1: 398, num2: 599
num1: 410, num2: 933
num1: 279, num2: 459
num1: 917, num2: 597
num1: 203, num2: 658
num1: 39, num2: 722
num1: 257, num2: 675
num1: 486, num2: 610
num1: 681, num2: 289
num1: 526, num2: 525
num1: 339, num2: 901
num1: 372, num2: 736
num1: 946, num2: 342
num1: 48, num2: 678
num1: 521, num2: 176
num1: 653, num2: 286
num1: 527, num2: 517
num1: 817, num2: 515
num1: 902, num2: 760
num1: 167, num2: 985
num1: 331, num2: 88
num1: 23, num2: 61
num1: 106, num2: 417
num1: 166, num2: 868
num1: 272, num2: 714
num1: 490, num2: 93
num1: 999, num2: 859
num1: 23, num2: 41
num1: 730, num2: 713
num1: 783, num2: 314
num1: 192, num2: 618
num1: 639, num2: 668
num1: 630, num2: 581
num1: 404, num2: 388
num1: 224, num2: 332
num1: 6, num2: 832
num1: 926, num2: 474
num1: 90, num2: 847
num1: 296, num2: 717
num1: 514, num2: 3
num1: 176, num2: 706
num1: 985, num2: 33
num1: 166, num2: 740
num1: 741, num2: 253
num1: 971, num2: 878
num1: 117, num2: 423
num1: 281, num2: 153
num1: 3, num2: 154
num1: 751, num2: 705
num1: 178, num2: 539
num1: 417, num2: 145
num1: 232, num2: 236
num1: 994, num2: 973
num1: 569, num2: 793
num1: 140, num2: 567
num1: 588, num2: 988
num1: 795, num2: 367
num1: 569, num2: 761
num1: 154, num2: 643
num1: 45, num2: 525
num1: 389, num2: 232
num1: 184, num2: 867
num1: 11, num2: 847
num1: 252, num2: 382
num1: 42, num2: 377
num1: 645, num2: 935
num1: 205, num2: 327
num1: 300, num2: 9
num1: 776, num2: 827
num1: 373, num2: 554
num1: 524, num2: 356
num1: 392, num2: 386
num1: 212, num2: 201
num1: 913, num2: 288
num1: 566, num2: 628
num1: 980, num2: 849
num1: 773, num2: 966
num1: 435, num2: 372
num1: 387, num2: 749
num1: 282, num2: 885
num1: 345, num2: 395
num1: 72, num2: 973
num1: 411, num2: 698
num1: 83, num2: 917
num1: 86, num2: 812
num1: 555, num2: 734
num1: 815, num2: 589
num1: 981, num2: 251
num1: 461, num2: 683
num1: 927, num2: 403
num1: 766, num2: 900
num1: 919, num2: 825
num1: 762, num2: 132
num1: 783, num2: 336
num1: 275, num2: 278
num1: 167, num2: 505
num1: 692, num2: 244
num1: 835, num2: 721
num1: 447, num2: 777
num1: 642, num2: 217
num1: 831, num2: 368
num1: 40, num2: 963
num1: 130, num2: 643
num1: 211, num2: 425
num1: 443, num2: 261
num1: 862, num2: 985
num1: 981, num2: 127
num1: 871, num2: 89
num1: 467, num2: 236
num1: 606, num2: 18
num1: 362, num2: 678
num1: 579, num2: 491
num1: 610, num2: 541
num1: 133, num2: 986
num1: 274, num2: 806
num1: 387, num2: 423
num1: 348, num2: 222
num1: 986, num2: 891
num1: 519, num2: 399
num1: 545, num2: 827
num1: 638, num2: 830
num1: 466, num2: 624
num1: 254, num2: 927
num1: 5, num2: 701
num1: 421, num2: 47
num1: 997, num2: 349
num1: 850, num2: 804
num1: 956, num2: 400
num1: 284, num2: 863
num1: 330, num2: 812
num1: 827, num2: 465
num1: 242, num2: 606
num1: 404, num2: 75
num1: 221, num2: 314
num1: 414, num2: 100
num1: 315, num2: 402
num1: 286, num2: 647
num1: 902, num2: 822
num1: 322, num2: 382
num1: 625, num2: 615
num1: 609, num2: 178
num1: 937, num2: 33
num1: 7, num2: 343
num1: 564, num2: 706
num1: 369, num2: 110
num1: 340, num2: 519
num1: 590, num2: 642
num1: 992, num2: 803
num1: 863, num2: 400
num1: 708, num2: 294
num1: 235, num2: 189
num1: 289, num2: 183
num1: 597, num2: 749
num1: 891, num2: 949
num1: 114, num2: 531
num1: 591, num2: 30
num1: 91, num2: 804
num1: 449, num2: 407
num1: 731, num2: 490
num1: 666, num2: 844
num1: 930, num2: 953
num1: 739, num2: 539
num1: 989, num2: 203
num1: 862, num2: 477
num1: 861, num2: 661
num1: 224, num2: 714
num1: 212, num2: 888
num1: 185, num2: 546
num1: 428, num2: 503
num1: 47, num2: 787
num1: 781, num2: 376
num1: 193, num2: 943
num1: 760, num2: 582
num1: 702, num2: 579
num1: 640, num2: 791
num1: 649, num2: 839
num1: 590, num2: 380
num1: 59, num2: 685
num1: 926, num2: 631
num1: 620, num2: 690
num1: 344, num2: 476
num1: 206, num2: 546
num1: 766, num2: 724
num1: 562, num2: 645
num1: 921, num2: 271
num1: 730, num2: 86
num1: 761, num2: 726
num1: 5, num2: 76
num1: 327, num2: 476
num1: 17, num2: 787
num1: 494, num2: 762
num1: 535, num2: 128
num1: 797, num2: 991
num1: 288, num2: 945
num1: 103, num2: 613
num1: 897, num2: 461
num1: 399, num2: 45
num1: 884, num2: 145
num1: 907, num2: 419
num1: 746, num2: 659
num1: 511, num2: 857
num1: 871, num2: 977
num1: 996, num2: 95
num1: 489, num2: 882
num1: 526, num2: 213
num1: 196, num2: 64
num1: 305, num2: 841
num1: 33, num2: 152
num1: 276, num2: 813
num1: 166, num2: 466
num1: 120, num2: 970
num1: 528, num2: 858
num1: 582, num2: 880
num1: 880, num2: 694
num1: 765, num2: 222
num1: 568, num2: 629
num1: 995, num2: 665
num1: 613, num2: 221
num1: 90, num2: 933
num1: 873, num2: 519
num1: 568, num2: 189
num1: 64, num2: 852
num1: 883, num2: 789
num1: 787, num2: 121
num1: 904, num2: 116
num1: 58, num2: 874
num1: 825, num2: 942
num1: 966, num2: 765
num1: 288, num2: 95
num1: 362, num2: 992
num1: 731, num2: 806
num1: 761, num2: 298
num1: 261, num2: 9
num1: 911, num2: 882
num1: 627, num2: 335
num1: 975, num2: 402
num1: 952, num2: 216
num1: 592, num2: 925
num1: 170, num2: 238
num1: 197, num2: 121
num1: 364, num2: 944
num1: 608, num2: 274
num1: 356, num2: 397
num1: 160, num2: 876
num1: 188, num2: 916
num1: 676, num2: 879
num1: 204, num2: 615
num1: 471, num2: 735
num1: 975, num2: 734
num1: 329, num2: 13
num1: 446, num2: 896
num1: 74, num2: 831
num1: 885, num2: 359
num1: 792, num2: 423
num1: 182, num2: 993
num1: 12, num2: 402
num1: 487, num2: 955
num1: 777, num2: 428
num1: 492, num2: 807
num1: 613, num2: 475
num1: 787, num2: 127
num1: 289, num2: 109
num1: 220, num2: 65
num1: 233, num2: 225
num1: 994, num2: 939
num1: 395, num2: 849
num1: 209, num2: 516
num1: 863, num2: 691
num1: 357, num2: 967
num1: 824, num2: 697
num1: 600, num2: 525
num1: 783, num2: 413
num1: 192, num2: 535
178794710
